
2024/12/08 (17:54:50) | ===> btop++ v.1.4.0
2024/12/08 (17:54:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (17:55:16) | ===> btop++ v.1.4.0
2024/12/08 (17:55:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (17:56:13) | ===> btop++ v.1.4.0
2024/12/08 (17:56:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (17:59:51) | ===> btop++ v.1.4.0
2024/12/08 (17:59:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (18:00:05) | ===> btop++ v.1.4.0
2024/12/08 (18:00:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (18:08:45) | ===> btop++ v.1.4.0
2024/12/08 (18:08:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (18:14:20) | ===> btop++ v.1.4.0
2024/12/08 (18:14:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (18:35:24) | ===> btop++ v.1.4.0
2024/12/08 (18:35:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (19:36:10) | ===> btop++ v.1.4.0
2024/12/08 (19:36:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (19:43:17) | ===> btop++ v.1.4.0
2024/12/08 (19:43:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (23:29:18) | ===> btop++ v.1.4.0
2024/12/08 (23:29:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (23:29:21) | ===> btop++ v.1.4.0
2024/12/08 (23:29:21) | WARNING: Intel GPU: Failed to initialize PMU
